Pretrained model,Lower Bound,Upper bound,Scaling,Features,Accuracy Score,F1 Score,Cohens Kappa Score
resnet101,0,340,Standardization,1633,0.6476190476190476,0.6363461135554159,0.46313825744489734
resnet101,0,340,Standardization,1357,0.6476190476190476,0.6363461135554159,0.46313825744489734
resnet101,0,340,Standardization,1529,0.6476190476190476,0.6363461135554159,0.46313825744489734
resnet101,0,340,Standardization,1567,0.6476190476190476,0.6363461135554159,0.46313825744489734
resnet101,0,340,Standardization,1653,0.6476190476190476,0.6363461135554159,0.46313825744489734
resnet101,0,340,Standardization,1433,0.6476190476190476,0.6363461135554159,0.46313825744489734
resnet101,0,340,Standardization,1156,0.6476190476190476,0.6363461135554159,0.46313825744489734
resnet101,0,340,Standardization,1267,0.6476190476190476,0.6363461135554159,0.46313825744489734
resnet101,0,340,MinMax,1790,0.4238095238095238,0.3308873276086391,0.11308900523560217
resnet101,0,340,MinMax,1251,0.4238095238095238,0.3308873276086391,0.11308900523560217
resnet101,0,340,MinMax,1351,0.4238095238095238,0.3308873276086391,0.11308900523560217
resnet101,0,340,MinMax,1213,0.4238095238095238,0.3308873276086391,0.11308900523560217
resnet101,0,340,MinMax,1868,0.4238095238095238,0.3308873276086391,0.11308900523560217
resnet101,0,340,Standardization,1027,0.6476190476190476,0.6363461135554159,0.46313825744489734
resnet101,0,340,Standardization,1741,0.6476190476190476,0.6363461135554159,0.46313825744489734
resnet101,0,340,MinMax,1171,0.4238095238095238,0.3308873276086391,0.11308900523560217
resnet101,0,340,MinMax,1172,0.4238095238095238,0.3308873276086391,0.11308900523560217
resnet101,0,340,Standardization,1052,0.6476190476190476,0.6363461135554159,0.46313825744489734
resnet101,0,340,MinMax,1822,0.4238095238095238,0.3308873276086391,0.11308900523560217
resnet101,0,340,Standardization,1822,0.6476190476190476,0.6363461135554159,0.46313825744489734
resnet101,0,340,MinMax,1404,0.4238095238095238,0.3308873276086391,0.11308900523560217
resnet101,0,340,MinMax,1265,0.4238095238095238,0.3308873276086391,0.11308900523560217
resnet101,0,340,Standardization,1205,0.6476190476190476,0.6363461135554159,0.46313825744489734
resnet101,0,340,MinMax,1855,0.4238095238095238,0.3308873276086391,0.11308900523560217
resnet101,0,340,MinMax,1802,0.4238095238095238,0.3308873276086391,0.11308900523560217
resnet101,0,340,MinMax,1688,0.4238095238095238,0.3308873276086391,0.11308900523560217
resnet101,0,340,MinMax,1879,0.4238095238095238,0.3308873276086391,0.11308900523560217
resnet101,0,340,Standardization,1160,0.6476190476190476,0.6363461135554159,0.46313825744489734
resnet101,0,340,Standardization,1428,0.6476190476190476,0.6363461135554159,0.46313825744489734
resnet101,0,340,MinMax,1818,0.4238095238095238,0.3308873276086391,0.11308900523560217
resnet101,0,340,MinMax,1326,0.4238095238095238,0.3308873276086391,0.11308900523560217
resnet101,0,340,Standardization,1144,0.6476190476190476,0.6363461135554159,0.46313825744489734
resnet101,0,340,MinMax,1612,0.4238095238095238,0.3308873276086391,0.11308900523560217
resnet101,0,340,Standardization,1113,0.6476190476190476,0.6363461135554159,0.46313825744489734
resnet101,0,340,MinMax,1482,0.4238095238095238,0.3308873276086391,0.11308900523560217
resnet101,0,340,Standardization,1799,0.6476190476190476,0.6363461135554159,0.46313825744489734
resnet101,0,340,MinMax,1823,0.4238095238095238,0.3308873276086391,0.11308900523560217
resnet101,0,340,MinMax,1785,0.4238095238095238,0.3308873276086391,0.11308900523560217
resnet101,0,340,MinMax,1763,0.4238095238095238,0.3308873276086391,0.11308900523560217
resnet101,0,340,MinMax,1317,0.4238095238095238,0.3308873276086391,0.11308900523560217
resnet101,0,340,MinMax,1813,0.4238095238095238,0.3308873276086391,0.11308900523560217
resnet101,0,340,MinMax,1577,0.4238095238095238,0.3308873276086391,0.11308900523560217
resnet101,0,340,Standardization,1139,0.6476190476190476,0.6363461135554159,0.46313825744489734
resnet101,0,340,Standardization,1318,0.6476190476190476,0.6363461135554159,0.46313825744489734
resnet101,0,340,MinMax,1864,0.4238095238095238,0.3308873276086391,0.11308900523560217
resnet101,0,340,MinMax,1674,0.4238095238095238,0.3308873276086391,0.11308900523560217
resnet101,0,340,MinMax,1038,0.4238095238095238,0.3308873276086391,0.11308900523560217
resnet101,0,340,MinMax,1370,0.4238095238095238,0.3308873276086391,0.11308900523560217
resnet101,0,340,MinMax,1604,0.4238095238095238,0.3308873276086391,0.11308900523560217
