Pretrained model,Lower Bound,Upper bound,Scaling,Features,Accuracy Score,F1 Score,Cohens Kappa Score
vgg19,0,11,Standardization,298,0.7666666666666667,0.763109692875562,0.6509853135705321
vgg19,0,11,MinMax,448,0.7476190476190476,0.7456951273589644,0.6207448802262583
vgg19,0,11,Standardization,403,0.7666666666666667,0.763109692875562,0.6509853135705321
vgg19,0,11,MinMax,281,0.7476190476190476,0.7456951273589644,0.6207448802262583
vgg19,0,11,Standardization,417,0.7666666666666667,0.763109692875562,0.6509853135705321
vgg19,0,11,MinMax,321,0.7476190476190476,0.7456951273589644,0.6207448802262583
vgg19,0,11,Standardization,440,0.7666666666666667,0.763109692875562,0.6509853135705321
vgg19,0,11,Standardization,443,0.7666666666666667,0.763109692875562,0.6509853135705321
vgg19,0,11,Standardization,482,0.7666666666666667,0.763109692875562,0.6509853135705321
vgg19,0,11,MinMax,426,0.7476190476190476,0.7456951273589644,0.6207448802262583
vgg19,0,11,MinMax,383,0.7476190476190476,0.7456951273589644,0.6207448802262583
vgg19,0,11,MinMax,416,0.7476190476190476,0.7456951273589644,0.6207448802262583
vgg19,0,11,Standardization,392,0.7666666666666667,0.763109692875562,0.6509853135705321
vgg19,0,11,Standardization,414,0.7666666666666667,0.763109692875562,0.6509853135705321
vgg19,0,11,Standardization,398,0.7666666666666667,0.763109692875562,0.6509853135705321
vgg19,0,11,Standardization,468,0.7666666666666667,0.763109692875562,0.6509853135705321
vgg19,0,11,Standardization,265,0.7666666666666667,0.763109692875562,0.6509853135705321
vgg19,0,11,MinMax,303,0.7476190476190476,0.7456951273589644,0.6207448802262583
vgg19,0,11,Standardization,472,0.7666666666666667,0.763109692875562,0.6509853135705321
vgg19,0,11,MinMax,266,0.7476190476190476,0.7456951273589644,0.6207448802262583
vgg19,0,11,Standardization,267,0.7666666666666667,0.763109692875562,0.6509853135705321
vgg19,0,11,MinMax,264,0.7476190476190476,0.7456951273589644,0.6207448802262583
vgg19,0,11,Standardization,366,0.7666666666666667,0.763109692875562,0.6509853135705321
vgg19,0,11,Standardization,381,0.7666666666666667,0.763109692875562,0.6509853135705321
vgg19,0,11,MinMax,271,0.7476190476190476,0.7456951273589644,0.6207448802262583
vgg19,0,11,Standardization,420,0.7666666666666667,0.763109692875562,0.6509853135705321
vgg19,0,11,MinMax,438,0.7476190476190476,0.7456951273589644,0.6207448802262583
vgg19,0,11,MinMax,322,0.7476190476190476,0.7456951273589644,0.6207448802262583
vgg19,0,11,Standardization,500,0.7666666666666667,0.763109692875562,0.6509853135705321
vgg19,0,11,MinMax,411,0.7476190476190476,0.7456951273589644,0.6207448802262583
vgg19,0,11,MinMax,421,0.7476190476190476,0.7456951273589644,0.6207448802262583
vgg19,0,11,Standardization,391,0.7666666666666667,0.763109692875562,0.6509853135705321
vgg19,0,11,MinMax,486,0.7476190476190476,0.7456951273589644,0.6207448802262583
vgg19,0,11,Standardization,373,0.7666666666666667,0.763109692875562,0.6509853135705321
vgg19,0,11,Standardization,402,0.7666666666666667,0.763109692875562,0.6509853135705321
vgg19,0,11,Standardization,324,0.7666666666666667,0.763109692875562,0.6509853135705321
vgg19,0,11,MinMax,263,0.7476190476190476,0.7456951273589644,0.6207448802262583
vgg19,0,11,MinMax,329,0.7476190476190476,0.7456951273589644,0.6207448802262583
vgg19,0,11,MinMax,420,0.7476190476190476,0.7456951273589644,0.6207448802262583
vgg19,0,11,MinMax,495,0.7476190476190476,0.7456951273589644,0.6207448802262583
vgg19,0,11,Standardization,372,0.7666666666666667,0.763109692875562,0.6509853135705321
vgg19,0,11,Standardization,371,0.7666666666666667,0.763109692875562,0.6509853135705321
vgg19,0,11,Standardization,457,0.7666666666666667,0.763109692875562,0.6509853135705321
vgg19,0,11,Standardization,509,0.7666666666666667,0.763109692875562,0.6509853135705321
vgg19,0,11,Standardization,337,0.7666666666666667,0.763109692875562,0.6509853135705321
vgg19,0,11,Standardization,376,0.7666666666666667,0.763109692875562,0.6509853135705321
vgg19,0,11,MinMax,450,0.7476190476190476,0.7456951273589644,0.6207448802262583
vgg19,0,11,MinMax,398,0.7476190476190476,0.7456951273589644,0.6207448802262583
vgg19,0,11,MinMax,260,0.7476190476190476,0.7456951273589644,0.6207448802262583
vgg19,0,11,MinMax,348,0.8380952380952381,0.8385559248937686,0.758962932955236
vgg19,0,11,Standardization,392,0.8238095238095238,0.8115876837064917,0.7348756269833145
vgg19,0,11,Standardization,416,0.8238095238095238,0.8115876837064917,0.7348756269833145
vgg19,0,11,Standardization,420,0.8238095238095238,0.8115876837064917,0.7348756269833145
vgg19,0,11,Standardization,279,0.8238095238095238,0.8115876837064917,0.7348756269833145
vgg19,0,11,Standardization,343,0.8238095238095238,0.8115876837064917,0.7348756269833145
vgg19,0,11,MinMax,314,0.8380952380952381,0.8385559248937686,0.758962932955236
vgg19,0,11,Standardization,313,0.8238095238095238,0.8115876837064917,0.7348756269833145
vgg19,0,11,Standardization,508,0.8238095238095238,0.8115876837064917,0.7348756269833145
vgg19,0,11,MinMax,475,0.8380952380952381,0.8385559248937686,0.758962932955236
vgg19,0,11,MinMax,355,0.8380952380952381,0.8385559248937686,0.758962932955236
vgg19,0,11,MinMax,280,0.8380952380952381,0.8385559248937686,0.758962932955236
vgg19,0,11,Standardization,381,0.8238095238095238,0.8115876837064917,0.7348756269833145
vgg19,0,11,Standardization,476,0.8238095238095238,0.8115876837064917,0.7348756269833145
vgg19,0,11,Standardization,399,0.8238095238095238,0.8115876837064917,0.7348756269833145
vgg19,0,11,MinMax,439,0.8380952380952381,0.8385559248937686,0.758962932955236
vgg19,0,11,Standardization,321,0.8238095238095238,0.8115876837064917,0.7348756269833145
vgg19,0,11,MinMax,370,0.8380952380952381,0.8385559248937686,0.758962932955236
vgg19,0,11,MinMax,372,0.8380952380952381,0.8385559248937686,0.758962932955236
vgg19,0,11,Standardization,498,0.8238095238095238,0.8115876837064917,0.7348756269833145
vgg19,0,11,Standardization,318,0.8238095238095238,0.8115876837064917,0.7348756269833145
vgg19,0,11,MinMax,489,0.8380952380952381,0.8385559248937686,0.758962932955236
vgg19,0,11,Standardization,349,0.8238095238095238,0.8115876837064917,0.7348756269833145
vgg19,0,11,Standardization,464,0.8238095238095238,0.8115876837064917,0.7348756269833145
vgg19,0,11,Standardization,310,0.8238095238095238,0.8115876837064917,0.7348756269833145
vgg19,0,11,Standardization,433,0.8238095238095238,0.8115876837064917,0.7348756269833145
vgg19,0,11,MinMax,429,0.8380952380952381,0.8385559248937686,0.758962932955236
vgg19,0,11,MinMax,419,0.8380952380952381,0.8385559248937686,0.758962932955236
vgg19,0,11,MinMax,486,0.8380952380952381,0.8385559248937686,0.758962932955236
vgg19,0,11,MinMax,418,0.8380952380952381,0.8385559248937686,0.758962932955236
vgg19,0,11,Standardization,363,0.8238095238095238,0.8115876837064917,0.7348756269833145
vgg19,0,11,MinMax,291,0.8380952380952381,0.8385559248937686,0.758962932955236
vgg19,0,11,Standardization,409,0.8238095238095238,0.8115876837064917,0.7348756269833145
vgg19,0,11,Standardization,368,0.8238095238095238,0.8115876837064917,0.7348756269833145
vgg19,0,11,Standardization,323,0.8238095238095238,0.8115876837064917,0.7348756269833145
vgg19,0,11,MinMax,301,0.8380952380952381,0.8385559248937686,0.758962932955236
vgg19,0,11,MinMax,271,0.8380952380952381,0.8385559248937686,0.758962932955236
vgg19,0,11,Standardization,264,0.8238095238095238,0.8115876837064917,0.7348756269833145
vgg19,0,11,Standardization,285,0.8238095238095238,0.8115876837064917,0.7348756269833145
vgg19,0,11,Standardization,493,0.8238095238095238,0.8115876837064917,0.7348756269833145
vgg19,0,11,Standardization,327,0.8238095238095238,0.8115876837064917,0.7348756269833145
vgg19,0,11,Standardization,369,0.8238095238095238,0.8115876837064917,0.7348756269833145
vgg19,0,11,Standardization,339,0.8238095238095238,0.8115876837064917,0.7348756269833145
vgg19,0,11,Standardization,334,0.8238095238095238,0.8115876837064917,0.7348756269833145
vgg19,0,11,MinMax,497,0.8380952380952381,0.8385559248937686,0.758962932955236
vgg19,0,11,MinMax,468,0.8380952380952381,0.8385559248937686,0.758962932955236
vgg19,0,11,Standardization,275,0.8238095238095238,0.8115876837064917,0.7348756269833145
vgg19,0,11,MinMax,389,0.8380952380952381,0.8385559248937686,0.758962932955236
vgg19,0,11,MinMax,476,0.6523809523809524,0.6025303577123015,0.4793683138053999
vgg19,0,11,MinMax,376,0.6523809523809524,0.6025303577123015,0.4793683138053999
vgg19,0,11,MinMax,404,0.6523809523809524,0.6025303577123015,0.4793683138053999
vgg19,0,11,MinMax,454,0.6523809523809524,0.6025303577123015,0.4793683138053999
vgg19,0,11,MinMax,432,0.6523809523809524,0.6025303577123015,0.4793683138053999
vgg19,0,11,Standardization,367,0.7523809523809524,0.7300176536671481,0.6209123099354301
vgg19,0,11,Standardization,388,0.7523809523809524,0.7300176536671481,0.6209123099354301
vgg19,0,11,MinMax,415,0.6523809523809524,0.6025303577123015,0.4793683138053999
vgg19,0,11,Standardization,307,0.7523809523809524,0.7300176536671481,0.6209123099354301
vgg19,0,11,MinMax,506,0.6523809523809524,0.6025303577123015,0.4793683138053999
vgg19,0,11,MinMax,458,0.6523809523809524,0.6025303577123015,0.4793683138053999
vgg19,0,11,Standardization,458,0.7523809523809524,0.7300176536671481,0.6209123099354301
vgg19,0,11,Standardization,351,0.7523809523809524,0.7300176536671481,0.6209123099354301
vgg19,0,11,MinMax,333,0.6523809523809524,0.6025303577123015,0.4793683138053999
vgg19,0,11,MinMax,256,0.6523809523809524,0.6025303577123015,0.4793683138053999
vgg19,0,11,Standardization,444,0.7523809523809524,0.7300176536671481,0.6209123099354301
vgg19,0,11,MinMax,446,0.6523809523809524,0.6025303577123015,0.4793683138053999
vgg19,0,11,Standardization,331,0.7523809523809524,0.7300176536671481,0.6209123099354301
vgg19,0,11,MinMax,311,0.6523809523809524,0.6025303577123015,0.4793683138053999
vgg19,0,11,Standardization,400,0.7523809523809524,0.7300176536671481,0.6209123099354301
vgg19,0,11,Standardization,404,0.7523809523809524,0.7300176536671481,0.6209123099354301
vgg19,0,11,MinMax,503,0.6523809523809524,0.6025303577123015,0.4793683138053999
vgg19,0,11,MinMax,508,0.6523809523809524,0.6025303577123015,0.4793683138053999
vgg19,0,11,Standardization,360,0.7523809523809524,0.7300176536671481,0.6209123099354301
vgg19,0,11,MinMax,420,0.6523809523809524,0.6025303577123015,0.4793683138053999
vgg19,0,11,MinMax,413,0.6523809523809524,0.6025303577123015,0.4793683138053999
vgg19,0,11,Standardization,281,0.7523809523809524,0.7300176536671481,0.6209123099354301
