Pretrained model,Lower Bound,Upper Bound,Scaling,Alpha,Features,Mean Square Error,R2-Square,,,,,,,
resnet101,0,340.csv,Standardization,4.5,0,0.702494341265709,-1.4519618174446691e-08,,,,,,,
resnet101,0,340.csv,Standardization,10.0,0,0.702494341265709,-1.4519618174446691e-08,,,,,,,
resnet101,0,340.csv,Standardization,14.0,0,0.702494341265709,-1.4519618174446691e-08,,,,,,,
resnet101,0,340.csv,KnnImpute,4.0,36,0.24907401083937303,0.6454433867651275,,,,,,,
resnet101,0,340.csv,KnnImpute,16.0,11,0.39673141495451614,0.4352532149937326,,,,,,,
resnet101,0,340.csv,KnnImpute,5.5,28,0.23661558467409852,0.6631779443470709,,,,,,,
resnet101,0,340.csv,Standardization,7.5,0,0.702494341265709,-1.4519618174446691e-08,,,,,,,
resnet101,0,340.csv,KnnImpute,8.5,22,0.27576337542529933,0.607451102122153,,,,,,,
resnet101,0,340.csv,KnnImpute,18.5,9,0.4252129483174643,0.39470977983214406,,,,,,,
resnet101,0,340.csv,MinMax,6.5,0,0.702494341265709,-1.4519618174446691e-08,,,,,,,
resnet101,0,340.csv,MinMax,5.5,0,0.702494341265709,-1.4519618174446691e-08,,,,,,,
resnet101,0,340.csv,KnnImpute,3.0,48,0.25883247265003373,0.6315522258274213,,,,,,,
resnet101,0,340.csv,KnnImpute,9.5,21,0.2911263599585313,0.5855819085160997,,,,,,,
resnet101,0,340.csv,KnnImpute,17.0,10,0.4097587851777454,0.4167087660962372,,,,,,,
resnet101,0,340.csv,KnnImpute,8.0,23,0.26887137350614104,0.6172618601800897,,,,,,,
resnet101,0,340.csv,KnnImpute,19.0,9,0.4288621639111357,0.3895151249683316,,,,,,,
resnet101,0,340.csv,KnnImpute,7.0,26,0.2523286140289103,0.6408104622764704,,,,,,,
resnet101,0,340.csv,MinMax,4.0,0,0.702494341265709,-1.4519618174446691e-08,,,,,,,
resnet101,0,340.csv,KnnImpute,0.5,104,0.17398540293906117,0.7523319473979149,,,,,,,
resnet101,0,340.csv,KnnImpute,17.5,10,0.4158743751380231,0.4080032297099154,,,,,,,
resnet101,0,340.csv,KnnImpute,15.5,12,0.3886615544842855,0.4467406535585219,,,,,,,
resnet101,0,340.csv,Standardization,14.5,0,0.702494341265709,-1.4519618174446691e-08,,,,,,,
resnet101,0,340.csv,MinMax,0.5,0,0.702494341265709,-1.4519618174446691e-08,,,,,,,
resnet101,0,340.csv,KnnImpute,1.0,71,0.15791405512275006,0.7752094954514759,,,,,,,
resnet101,0,340.csv,Standardization,1.0,0,0.702494341265709,-1.4519618174446691e-08,,,,,,,
resnet101,0,340.csv,KnnImpute,6.0,29,0.24222330527088853,0.6551953595078701,,,,,,,
resnet101,0,340.csv,KnnImpute,13.0,15,0.34925684273419355,0.5028332225765675,,,,,,,
resnet101,0,340.csv,KnnImpute,2.0,54,0.19283833040106732,0.725494823412296,,,,,,,
resnet101,0,340.csv,KnnImpute,11.5,16,0.3256675409522439,0.5364125708200789,,,,,,,
resnet101,0,340.csv,Standardization,2.5,0,0.702494341265709,-1.4519618174446691e-08,,,,,,,
resnet101,0,340.csv,KnnImpute,18.0,9,0.4222389383069717,0.3989432802021481,,,,,,,
resnet101,0,340.csv,KnnImpute,3.5,41,0.258779654645438,0.6316274122058161,,,,,,,
resnet101,0,340.csv,KnnImpute,19.5,9,0.4324817058459614,0.38436271052915116,,,,,,,
resnet101,0,340.csv,Standardization,12.5,0,0.702494341265709,-1.4519618174446691e-08,,,,,,,
resnet101,0,340.csv,KnnImpute,9.0,21,0.28302189035210096,0.5971186131527548,,,,,,,
resnet101,0,340.csv,KnnImpute,12.0,15,0.33333941273310663,0.5254916687692059,,,,,,,
resnet101,0,340.csv,KnnImpute,5.0,34,0.23661244946769677,0.6631824073103477,,,,,,,
resnet101,0,340.csv,KnnImpute,10.5,17,0.3089974522660722,0.5601424259220856,,,,,,,
resnet101,0,340.csv,KnnImpute,13.5,15,0.3565651631970394,0.49242983547484054,,,,,,,
resnet101,0,340.csv,MinMax,11.0,0,0.702494341265709,-1.4519618174446691e-08,,,,,,,
resnet101,0,340.csv,KnnImpute,1.5,63,0.16898370181577152,0.7594518641034369,,,,,,,
resnet101,0,340.csv,KnnImpute,2.5,58,0.08838408606454694,0.8741853390753221,,,,,,,
resnet101,0,340.csv,MinMax,17.0,0,0.7024943412657091,-1.4519618174446691e-08,,,,,,,
resnet101,0,340.csv,MinMax,12.5,0,0.7024943412657091,-1.4519618174446691e-08,,,,,,,
resnet101,0,340.csv,Standardization,5.0,0,0.7024943412657091,-1.4519618174446691e-08,,,,,,,
resnet101,0,340.csv,Standardization,17.5,0,0.7024943412657091,-1.4519618174446691e-08,,,,,,,
resnet101,0,340.csv,KnnImpute,14.0,16,0.26331929039721674,0.6251652451091911,,,,,,,
resnet101,0,340.csv,MinMax,18.0,0,0.7024943412657091,-1.4519618174446691e-08,,,,,,,
resnet101,0,340.csv,MinMax,11.0,0,0.7024943412657091,-1.4519618174446691e-08,,,,,,,
resnet101,0,340.csv,KnnImpute,16.0,15,0.2831514527208643,0.5969341812462842,,,,,,,
resnet101,0,340.csv,MinMax,18.5,0,0.7024943412657091,-1.4519618174446691e-08,,,,,,,
resnet101,0,340.csv,KnnImpute,13.5,17,0.25904264382725894,0.631253047360164,,,,,,,
resnet101,0,340.csv,KnnImpute,7.0,22,0.19622499505836014,0.720673909552173,,,,,,,
resnet101,0,340.csv,KnnImpute,1.5,69,0.05652574755919977,0.91953565308713,,,,,,,
resnet101,0,340.csv,Standardization,1.5,0,0.7024943412657091,-1.4519618174446691e-08,,,,,,,
resnet101,0,340.csv,KnnImpute,2.0,60,0.06912154017627786,0.9016055544940654,,,,,,,
resnet101,0,340.csv,KnnImpute,6.5,23,0.19100799322579162,0.7281003066088634,,,,,,,
resnet101,0,340.csv,KnnImpute,13.0,17,0.2549412600768063,0.6370913631572899,,,,,,,
resnet101,0,340.csv,KnnImpute,3.0,50,0.110614327730448,0.8425406115909375,,,,,,,
resnet101,0,340.csv,KnnImpute,4.0,40,0.15249974686470452,0.7829167580137679,,,,,,,
resnet101,0,340.csv,Standardization,19.0,0,0.7024943412657091,-1.4519618174446691e-08,,,,,,,
resnet101,0,340.csv,KnnImpute,6.0,24,0.18211525600007666,0.7407591094382382,,,,,,,
resnet101,0,340.csv,KnnImpute,15.5,15,0.2775998431347993,0.6048368921160538,,,,,,,
resnet101,0,340.csv,KnnImpute,10.0,18,0.2301184622726894,0.6724265917938799,,,,,,,
resnet101,0,340.csv,KnnImpute,15.0,15,0.2725501771277523,0.612025086787157,,,,,,,
resnet101,0,340.csv,MinMax,8.5,0,0.7024943412657091,-1.4519618174446691e-08,,,,,,,
resnet101,0,340.csv,KnnImpute,11.5,17,0.24435739119362632,0.6521574902634306,,,,,,,
resnet101,0,340.csv,KnnImpute,3.5,48,0.13519144491119578,0.8075551090838046,,,,,,,
resnet101,0,340.csv,Standardization,16.5,0,0.7024943412657091,-1.4519618174446691e-08,,,,,,,
resnet101,0,340.csv,MinMax,4.5,0,0.7024943412657091,-1.4519618174446691e-08,,,,,,,
resnet101,0,340.csv,KnnImpute,9.5,18,0.22579724500734583,0.6785778403865735,,,,,,,
resnet101,0,340.csv,KnnImpute,7.5,22,0.20400474285796183,0.7095994460930886,,,,,,,
resnet101,0,340.csv,KnnImpute,19.5,11,0.31696500153279195,0.5488006272564194,,,,,,,
resnet101,0,340.csv,MinMax,12.0,0,0.7024943412657091,-1.4519618174446691e-08,,,,,,,
resnet101,0,340.csv,KnnImpute,1.0,75,0.04224139015206403,0.939869422023692,,,,,,,
resnet101,0,340.csv,KnnImpute,8.0,23,0.21112792204218048,0.6994596074222028,,,,,,,
resnet101,0,340.csv,Standardization,1.0,0,0.7024943412657091,-1.4519618174446691e-08,,,,,,,
resnet101,0,340.csv,MinMax,9.0,0,0.7024943412657091,-1.4519618174446691e-08,,,,,,,
resnet101,0,340.csv,MinMax,12.5,0,0.7024943412657091,-1.4519618174446691e-08,,,,,,,
resnet101,0,340.csv,MinMax,16.5,0,0.7024943412657091,-1.4519618174446691e-08,,,,,,,
resnet101,0,340.csv,KnnImpute,3.0,43,0.41225706020831443,0.4131524740094684,,,,,,,
resnet101,0,340.csv,KnnImpute,16.5,13,0.39774397269720985,0.43381184002753537,,,,,,,
resnet101,0,340.csv,MinMax,19.0,0,0.7024943412657091,-1.4519618174446691e-08,,,,,,,
resnet101,0,340.csv,KnnImpute,3.5,39,0.4236624539114427,0.3969169071176687,,,,,,,
resnet101,0,340.csv,KnnImpute,18.5,13,0.3995884473323913,0.43118623217048235,,,,,,,
resnet101,0,340.csv,MinMax,16.0,0,0.7024943412657091,-1.4519618174446691e-08,,,,,,,
resnet101,0,340.csv,Standardization,10.5,0,0.7024943412657091,-1.4519618174446691e-08,,,,,,,
resnet101,0,340.csv,KnnImpute,7.0,24,0.4048368970344649,0.4237150691020044,,,,,,,
resnet101,0,340.csv,Standardization,12.0,0,0.7024943412657091,-1.4519618174446691e-08,,,,,,,
resnet101,0,340.csv,KnnImpute,5.0,27,0.40605343648725095,0.4219833263690197,,,,,,,
resnet101,0,340.csv,Standardization,14.5,0,0.7024943412657091,-1.4519618174446691e-08,,,,,,,
resnet101,0,340.csv,KnnImpute,1.5,58,0.3105470789771244,0.5579365337995098,,,,,,,
resnet101,0,340.csv,Standardization,1.5,0,0.7024943412657091,-1.4519618174446691e-08,,,,,,,
resnet101,0,340.csv,KnnImpute,10.0,18,0.4083047639256263,0.418778563940603,,,,,,,
resnet101,0,340.csv,KnnImpute,8.0,20,0.40912681232903086,0.41760837883440083,,,,,,,
resnet101,0,340.csv,KnnImpute,2.5,46,0.39783947622341115,0.4336758908504703,,,,,,,
resnet101,0,340.csv,KnnImpute,2.0,53,0.36511198279666124,0.4802634460512343,,,,,,,
resnet101,0,340.csv,Standardization,6.5,0,0.7024943412657091,-1.4519618174446691e-08,,,,,,,
resnet101,0,340.csv,KnnImpute,5.5,27,0.40275581345258066,0.4266774895655646,,,,,,,
resnet101,0,340.csv,MinMax,4.5,0,0.7024943412657091,-1.4519618174446691e-08,,,,,,,
resnet101,0,340.csv,KnnImpute,18.0,13,0.39858721780516837,0.43261148143292694,,,,,,,
resnet101,0,340.csv,KnnImpute,17.0,13,0.39688300095650497,0.43503743246669235,,,,,,,
resnet101,0,340.csv,MinMax,8.5,0,0.7024943412657091,-1.4519618174446691e-08,,,,,,,
resnet101,0,340.csv,KnnImpute,11.0,19,0.4055177577732912,0.42274586449960805,,,,,,,
resnet101,0,340.csv,KnnImpute,4.0,36,0.4218502597992007,0.3994965636815767,,,,,,,
resnet101,0,340.csv,MinMax,0.5,0,0.7024943412657091,-1.4519618174446691e-08,,,,,,,
resnet101,0,340.csv,KnnImpute,15.0,13,0.39925037756430576,0.43166747415797657,,,,,,,
resnet101,0,340.csv,KnnImpute,6.0,26,0.4023944548555814,0.42719188317846546,,,,,,,
resnet101,0,340.csv,KnnImpute,15.5,13,0.39864231071408357,0.4325330567304362,,,,,,,
resnet101,0,340.csv,KnnImpute,14.0,13,0.40065026092378764,0.42967474155135454,,,,,,,
resnet101,0,340.csv,KnnImpute,9.5,18,0.40872408818846667,0.41818165625850934,,,,,,,
resnet101,0,340.csv,MinMax,13.5,0,0.7024943412657091,-1.4519618174446691e-08,,,,,,,
resnet101,0,340.csv,KnnImpute,1.0,71,0.22796297251399242,0.6754949293780805,,,,,,,
resnet101,0,340.csv,Standardization,1.0,0,0.7024943412657091,-1.4519618174446691e-08,,,,,,,
resnet101,0,340.csv,KnnImpute,14.5,14,0.35485502869090335,0.494864210288288,,,,,,,
resnet101,0,340.csv,KnnImpute,1.0,80,0.0971589140797626,0.8616943798929138,,,,,,,
resnet101,0,340.csv,Standardization,1.5,0,0.702494341265709,-1.4519618174446691e-08,,,,,,,
resnet101,0,340.csv,KnnImpute,15.5,12,0.36871718583268503,0.47513144302061294,,,,,,,
resnet101,0,340.csv,Standardization,16.0,0,0.702494341265709,-1.4519618174446691e-08,,,,,,,
resnet101,0,340.csv,KnnImpute,19.0,10,0.408323655086613,0.418751672391232,,,,,,,
resnet101,0,340.csv,MinMax,0.5,0,0.702494341265709,-1.4519618174446691e-08,,,,,,,
resnet101,0,340.csv,KnnImpute,17.0,11,0.3852244148493463,0.45163341850044636,,,,,,,
resnet101,0,340.csv,KnnImpute,13.0,15,0.3372971653039359,0.5198578118171862,,,,,,,
resnet101,0,340.csv,MinMax,1.0,0,0.702494341265709,-1.4519618174446691e-08,,,,,,,
