Model,Lower Bound,Upper Bound,Scaling method,Alpha,Mean Square Error,R2-Square
resnet50,0,153.csv,MinMax,7.5,0,0.702494341265709,-1.4519618174446691e-08
resnet50,0,153.csv,MinMax,5.0,0,0.702494341265709,-1.4519618174446691e-08
resnet50,0,153.csv,KnnImpute,10.0,24,0.5206089717273293,0.25891363288653246
resnet50,0,153.csv,KnnImpute,7.0,38,0.46378273333591985,0.33980572820806765
resnet50,0,153.csv,Standardization,1.5,0,0.702494341265709,-1.4519618174446691e-08
resnet50,0,153.csv,Standardization,7.0,0,0.702494341265709,-1.4519618174446691e-08
resnet50,0,153.csv,Standardization,11.0,0,0.702494341265709,-1.4519618174446691e-08
resnet50,0,153.csv,KnnImpute,6.0,40,0.44548405171107763,0.36585388378119676
resnet50,0,153.csv,MinMax,19.5,0,0.702494341265709,-1.4519618174446691e-08
resnet50,0,153.csv,Standardization,9.5,0,0.702494341265709,-1.4519618174446691e-08
resnet50,0,153.csv,KnnImpute,13.5,18,0.5594543903400407,0.2036172171079471
resnet50,0,153.csv,KnnImpute,4.0,52,0.44631785237381627,0.36466696934521303
resnet50,0,153.csv,KnnImpute,14.0,18,0.5651042689124056,0.19557462043133989
resnet50,0,153.csv,KnnImpute,0.5,107,0.38955122012945115,0.4454742153741512
resnet50,0,153.csv,MinMax,0.5,0,0.702494341265709,-1.4519618174446691e-08
resnet50,0,153.csv,KnnImpute,2.0,70,0.46200482107017704,0.3423365845966815
resnet50,0,153.csv,KnnImpute,12.0,22,0.5453592477969053,0.22368163886883397
resnet50,0,153.csv,KnnImpute,16.5,16,0.5991000358454763,0.14718167912248203
resnet50,0,153.csv,Standardization,3.5,0,0.702494341265709,-1.4519618174446691e-08
resnet50,0,153.csv,MinMax,10.5,0,0.702494341265709,-1.4519618174446691e-08
resnet50,0,153.csv,KnnImpute,13.0,19,0.5544469856155164,0.21074525288430357
resnet50,0,153.csv,MinMax,6.5,0,0.702494341265709,-1.4519618174446691e-08
resnet50,0,153.csv,KnnImpute,17.0,16,0.6064180879659317,0.13676443901557167
resnet50,0,153.csv,KnnImpute,19.0,14,0.6253826552712313,0.10976839582113307
resnet50,0,153.csv,KnnImpute,8.0,29,0.4845561329295561,0.3102348140027945
resnet50,0,153.csv,KnnImpute,14.5,18,0.571141286237519,0.18698093211508737
