Model,Scaling method,Number of Features,Accuracy,F1-Score
vgg16,KnnImpute,17.0,0.23414710983694587,0.6666918158873688
vgg16,KnnImpute,14.0,0.2126511971433561,0.697291226790768
vgg16,KnnImpute,10.0,0.19208500635300552,0.7265671794652181
vgg16,Standardization,16.5,0.702494341265709,-1.4519618174446691e-08
vgg16,Standardization,15.5,0.702494341265709,-1.4519618174446691e-08
vgg16,Standardization,3.0,0.702494341265709,-1.4519618174446691e-08
vgg16,Standardization,17.0,0.702494341265709,-1.4519618174446691e-08
vgg16,MinMax,1.0,0.702494341265709,-1.4519618174446691e-08
vgg16,KnnImpute,12.0,0.2012116694432614,0.7135753833941954
vgg16,MinMax,19.5,0.702494341265709,-1.4519618174446691e-08
vgg16,KnnImpute,0.5,0.06394293374946002,0.9089772957278507
vgg16,KnnImpute,11.5,0.19871317261352506,0.7171319912118639
vgg16,MinMax,15.0,0.702494341265709,-1.4519618174446691e-08
vgg16,KnnImpute,2.0,0.12252945878877823,0.8255794340676204
vgg16,MinMax,0.5,0.702494341265709,-1.4519618174446691e-08
vgg16,KnnImpute,3.5,0.13139653273156307,0.8129571628966452
vgg16,KnnImpute,13.5,0.20957448416116004,0.7016709247415378
vgg16,KnnImpute,12.5,0.2038547203111127,0.7098130030432515
vgg16,KnnImpute,9.5,0.19016472567572895,0.7293006971497855
vgg16,KnnImpute,14.5,0.2158724641636671,0.6927057563067232
vgg16,Standardization,4.0,0.702494341265709,-1.4519618174446691e-08
vgg16,KnnImpute,11.0,0.19635922982190368,0.7204828264962572
vgg16,MinMax,5.5,0.702494341265709,-1.4519618174446691e-08
vgg16,KnnImpute,17.5,0.23823570108594644,0.6608717102036721
vgg16,KnnImpute,10.5,0.19414984106839717,0.7236278892473752
vgg16,KnnImpute,18.5,0.24684654569829229,0.6486141812364529
vgg16,KnnImpute,18.0,0.24246884637306187,0.6548458319867001
vgg16,KnnImpute,16.0,0.22640358945328956,0.6777147096549364
vgg16,KnnImpute,6.5,0.15802349304597596,0.7750537106737398
vgg16,Standardization,8.0,0.702494341265709,-1.4519618174446691e-08
vgg16,KnnImpute,19.0,0.2513687990616376,0.6421767579529303
vgg16,Standardization,7.0,0.702494341265709,-1.4519618174446691e-08
vgg16,KnnImpute,4.5,0.13936598169337788,0.8016126600168507
vgg16,KnnImpute,5.0,0.14355990001328983,0.7956426213497069
vgg16,KnnImpute,1.5,0.11003369647505663,0.8433671396207232
vgg16,MinMax,7.5,0.702494341265709,-1.4519618174446691e-08
vgg16,KnnImpute,9.0,0.18758124705132914,0.732978276469864
vgg16,Standardization,0.5,0.42083457435929333,0.400942390921729
vgg16,KnnImpute,13.0,0.20664232521707884,0.7058448501590324
vgg16,KnnImpute,2.5,0.12521488480304055,0.8217567327367951
vgg16,Standardization,1.5,0.7024943412657091,-1.4519618174446691e-08
vgg16,Standardization,4.0,0.7024943412657091,-1.4519618174446691e-08
vgg16,KnnImpute,5.5,0.12051995056297936,0.8284399670811042
vgg16,KnnImpute,18.5,0.2421585985782649,0.65528746942216
vgg16,MinMax,11.5,0.7024943412657091,-1.4519618174446691e-08
vgg16,KnnImpute,18.0,0.23693289647795254,0.6627262513015588
vgg16,Standardization,13.5,0.7024943412657091,-1.4519618174446691e-08
vgg16,Standardization,2.5,0.7024943412657091,-1.4519618174446691e-08
vgg16,Standardization,18.0,0.7024943412657091,-1.4519618174446691e-08
vgg16,KnnImpute,3.5,0.10400602570749505,0.8519475231213515
vgg16,KnnImpute,6.0,0.12462813477739075,0.8225919708301184
vgg16,MinMax,3.5,0.7024943412657091,-1.4519618174446691e-08
vgg16,KnnImpute,17.5,0.23182042593129837,0.670003848173975
vgg16,KnnImpute,17.0,0.2268211869383024,0.6771202600394082
vgg16,KnnImpute,15.0,0.2079565465029001,0.7039740574313139
vgg16,MinMax,3.0,0.7024943412657091,-1.4519618174446691e-08
vgg16,KnnImpute,8.0,0.14605769991067186,0.7920870056145698
vgg16,MinMax,4.5,0.7024943412657091,-1.4519618174446691e-08
vgg16,KnnImpute,14.0,0.19920361560714794,0.7164338460853704
vgg16,KnnImpute,6.5,0.12933703367645424,0.8158888578072423
vgg16,KnnImpute,19.0,0.24749753223223542,0.6476875025357784
vgg16,MinMax,10.0,0.7024943412657091,-1.4519618174446691e-08
