Pretrained model,Lower Bound,Upper Bound,Scaling,Alpha,Features,Mean Square Error,R2-Square
vgg19,0,11.csv,KnnImpute,4.0,8,0.26553630215187085,0.6220093310233213
vgg19,0,11.csv,Standardization,2.5,0,0.702494341265709,-1.4519618174446691e-08
vgg19,0,11.csv,MinMax,16.0,0,0.702494341265709,-1.4519618174446691e-08
vgg19,0,11.csv,MinMax,11.5,0,0.702494341265709,-1.4519618174446691e-08
vgg19,0,11.csv,Standardization,2.0,0,0.702494341265709,-1.4519618174446691e-08
vgg19,0,11.csv,Standardization,16.0,0,0.702494341265709,-1.4519618174446691e-08
vgg19,0,11.csv,KnnImpute,8.0,3,0.3675256439344939,0.47682760175883854
vgg19,0,11.csv,Standardization,15.5,0,0.702494341265709,-1.4519618174446691e-08
vgg19,0,11.csv,Standardization,10.0,0,0.702494341265709,-1.4519618174446691e-08
vgg19,0,11.csv,KnnImpute,1.0,15,0.14434531467646192,0.7945245843372508
vgg19,0,11.csv,KnnImpute,5.0,6,0.29507545551357833,0.5799603748176629
vgg19,0,11.csv,KnnImpute,14.0,2,0.5316930599627314,0.24313544401689935
vgg19,0,11.csv,KnnImpute,10.5,2,0.4284838640462701,0.3900536344596348
vgg19,0,11.csv,MinMax,18.0,0,0.702494341265709,-1.4519618174446691e-08
vgg19,0,11.csv,KnnImpute,6.5,6,0.33289476106662347,0.5261246299858587
vgg19,0,11.csv,KnnImpute,0.5,19,0.13212266947686452,0.8119235079428753
vgg19,0,11.csv,KnnImpute,7.0,4,0.346395028469488,0.5069070124110904
vgg19,0,11.csv,MinMax,0.5,0,0.702494341265709,-1.4519618174446691e-08
vgg19,0,11.csv,KnnImpute,12.5,2,0.4843348943029348,0.31054974697354987
vgg19,0,11.csv,KnnImpute,13.0,2,0.4996012362276561,0.28881812402712603
vgg19,0,11.csv,KnnImpute,4.5,7,0.28289429563947616,0.5973002441026178
vgg19,0,11.csv,MinMax,19.5,0,0.702494341265709,-1.4519618174446691e-08
vgg19,0,11.csv,KnnImpute,12.0,2,0.46960860255094367,0.3315126090220589
vgg19,0,11.csv,KnnImpute,1.5,13,0.1585997788274663,0.7742333684218443
vgg19,0,11.csv,KnnImpute,13.5,2,0.5153872914475885,0.26634668970824227
vgg19,0,11.csv,MinMax,18.5,0,0.702494341265709,-1.4519618174446691e-08
vgg19,0,11.csv,KnnImpute,19.0,1,0.6948613819657781,0.010865495652330082
vgg19,0,11.csv,Standardization,6.0,0,0.702494341265709,-1.4519618174446691e-08
vgg19,0,11.csv,KnnImpute,8.5,3,0.3789032803832388,0.46063154729177436
vgg19,0,11.csv,Standardization,17.0,0,0.702494341265709,-1.4519618174446691e-08
vgg19,0,11.csv,KnnImpute,9.5,2,0.4036576395967283,0.4253937409226689
vgg19,0,11.csv,KnnImpute,5.5,6,0.30612722218660915,0.5642281956607662
vgg19,0,11.csv,KnnImpute,16.5,2,0.6210176019665943,0.11598204497331155
vgg19,0,11.csv,KnnImpute,3.0,9,0.22291443227982566,0.6826815215125788
vgg19,0,11.csv,Standardization,3.5,0,0.702494341265709,-1.4519618174446691e-08
vgg19,0,11.csv,MinMax,11.0,0,0.702494341265709,-1.4519618174446691e-08
vgg19,0,11.csv,KnnImpute,7.5,3,0.3565540910007753,0.4924455967355006
vgg19,0,11.csv,KnnImpute,9.5,3,0.32743001436338987,0.5339036916260331
vgg19,0,11.csv,MinMax,10.0,0,0.7024943412657091,-1.4519618174446691e-08
vgg19,0,11.csv,Standardization,15.0,0,0.7024943412657091,-1.4519618174446691e-08
vgg19,0,11.csv,MinMax,2.0,0,0.7024943412657091,-1.4519618174446691e-08
vgg19,0,11.csv,MinMax,16.5,0,0.7024943412657091,-1.4519618174446691e-08
vgg19,0,11.csv,Standardization,11.0,0,0.7024943412657091,-1.4519618174446691e-08
vgg19,0,11.csv,Standardization,16.0,0,0.7024943412657091,-1.4519618174446691e-08
vgg19,0,11.csv,KnnImpute,5.0,7,0.22243430412024148,0.6833649834828066
vgg19,0,11.csv,KnnImpute,19.5,0,0.7024943412657091,-1.4519618174446691e-08
vgg19,0,11.csv,Standardization,17.5,0,0.7024943412657091,-1.4519618174446691e-08
vgg19,0,11.csv,KnnImpute,2.5,9,0.1476070189592588,0.7898815514492152
vgg19,0,11.csv,KnnImpute,7.5,3,0.280753723330416,0.6003473467117061
vgg19,0,11.csv,KnnImpute,12.0,2,0.4123983174027633,0.4129513945299593
vgg19,0,11.csv,MinMax,6.0,0,0.7024943412657091,-1.4519618174446691e-08
vgg19,0,11.csv,KnnImpute,15.5,2,0.5710255178466639,0.18714572830736353
vgg19,0,11.csv,KnnImpute,11.5,2,0.39337267694643885,0.44003437529574074
vgg19,0,11.csv,KnnImpute,3.5,9,0.17449006282903418,0.7516135645332341
vgg19,0,11.csv,KnnImpute,10.5,2,0.3580015020380358,0.49038520852558487
vgg19,0,11.csv,KnnImpute,1.5,11,0.12446633388412845,0.8228222942449946
vgg19,0,11.csv,Standardization,1.5,0,0.7024943412657091,-1.4519618174446691e-08
vgg19,0,11.csv,MinMax,18.5,0,0.7024943412657091,-1.4519618174446691e-08
vgg19,0,11.csv,KnnImpute,14.0,2,0.49761906840372044,0.2916397380050332
vgg19,0,11.csv,KnnImpute,13.0,2,0.45320402225345574,0.35486451318988377
vgg19,0,11.csv,KnnImpute,4.5,9,0.20944114933822774,0.7018607267328649
vgg19,0,11.csv,KnnImpute,9.0,3,0.31388273881609435,0.5531882252488779
vgg19,0,11.csv,KnnImpute,8.0,3,0.2910488267442898,0.5856922769714918
vgg19,0,11.csv,KnnImpute,17.0,2,0.6525726235506637,0.07106350230522052
vgg19,0,11.csv,MinMax,19.0,0,0.7024943412657091,-1.4519618174446691e-08
vgg19,0,11.csv,KnnImpute,1.0,12,0.10583443055536514,0.8493447905909748
vgg19,0,11.csv,Standardization,1.0,0,0.7024943412657091,-1.4519618174446691e-08
vgg19,0,11.csv,MinMax,14.5,0,0.7024943412657091,-1.4519618174446691e-08
vgg19,0,11.csv,KnnImpute,13.5,2,0.4749592866474185,0.32389591539215123
vgg19,0,11.csv,Standardization,4.0,0,0.7024943412657091,-1.4519618174446691e-08
vgg19,0,11.csv,KnnImpute,0.5,20,0.07805554076023992,0.888888013314184
vgg19,0,11.csv,KnnImpute,3.0,9,0.16014004978154786,0.7720407942102563
vgg19,0,11.csv,KnnImpute,12.5,2,0.4323532752218335,0.3845455313982292
vgg19,0,11.csv,KnnImpute,8.5,3,0.30221616286634484,0.5697955848158229
vgg19,0,11.csv,Standardization,0.5,2,0.510024775709582,0.27398022566841285
vgg19,0,11.csv,Standardization,14.0,0,0.7024943412657091,-1.4519618174446691e-08
vgg19,0,11.csv,Standardization,18.5,0,0.7024943412657091,-1.4519618174446691e-08
vgg19,0,11.csv,MinMax,2.0,0,0.7024943412657091,-1.4519618174446691e-08
vgg19,0,11.csv,Standardization,1.0,0,0.7024943412657091,-1.4519618174446691e-08
vgg19,0,11.csv,MinMax,10.0,0,0.7024943412657091,-1.4519618174446691e-08
vgg19,0,11.csv,KnnImpute,7.5,3,0.4449468994461253,0.366618519510196
vgg19,0,11.csv,KnnImpute,16.0,2,0.5992367628397164,0.14698704837858323
vgg19,0,11.csv,KnnImpute,18.0,2,0.6686209443561465,0.04821873317927494
vgg19,0,11.csv,Standardization,16.0,0,0.7024943412657091,-1.4519618174446691e-08
vgg19,0,11.csv,Standardization,4.0,0,0.7024943412657091,-1.4519618174446691e-08
vgg19,0,11.csv,KnnImpute,5.0,7,0.38161040132824403,0.4567779632480451
vgg19,0,11.csv,MinMax,5.0,0,0.7024943412657091,-1.4519618174446691e-08
vgg19,0,11.csv,KnnImpute,4.5,8,0.3579448115649799,0.4904659073590828
vgg19,0,11.csv,MinMax,4.5,0,0.7024943412657091,-1.4519618174446691e-08
vgg19,0,11.csv,KnnImpute,0.5,19,0.1854941727632601,0.7359492246978769
vgg19,0,11.csv,MinMax,0.5,0,0.7024943412657091,-1.4519618174446691e-08
vgg19,0,11.csv,Standardization,0.5,2,0.5524788382151786,0.21354690880279603
vgg19,0,11.csv,KnnImpute,12.5,2,0.5085211563171245,0.2761206264175212
vgg19,0,11.csv,KnnImpute,7.0,3,0.43912496794674166,0.37490603336180417
vgg19,0,11.csv,Standardization,12.0,0,0.7024943412657091,-1.4519618174446691e-08
vgg19,0,11.csv,MinMax,8.5,0,0.7024943412657091,-1.4519618174446691e-08
vgg19,0,11.csv,KnnImpute,3.5,9,0.3096841015485039,0.5591649813334725
vgg19,0,11.csv,KnnImpute,11.5,2,0.48979078048681984,0.3027832982740879
vgg19,0,11.csv,KnnImpute,13.5,2,0.5304520164753767,0.24490206821936367
vgg19,0,11.csv,Standardization,5.5,0,0.7024943412657091,-1.4519618174446691e-08
vgg19,0,11.csv,KnnImpute,6.5,4,0.4334319051516431,0.38301010273765457
vgg19,0,11.csv,KnnImpute,3.0,9,0.2883216979773494,0.589574342130371
vgg19,0,11.csv,KnnImpute,17.5,2,0.6500785336082925,0.07461383692299217
vgg19,0,11.csv,KnnImpute,13.0,2,0.5190877979400017,0.2610790222997392
vgg19,0,11.csv,KnnImpute,6.0,5,0.4188021090456426,0.4038356033275391
