Pretrained model,Lower Bound,Upper bound,Scaling,Features,Accuracy Score,F1 Score,Cohens Kappa Score
resnet101,0,340,MinMax,1302,0.4238095238095238,0.3308873276086391,0.11308900523560217
resnet101,0,340,MinMax,1248,0.4238095238095238,0.3308873276086391,0.11308900523560217
resnet101,0,340,Standardization,1764,0.6476190476190476,0.6363461135554159,0.46313825744489734
resnet101,0,340,MinMax,1124,0.4238095238095238,0.3308873276086391,0.11308900523560217
resnet101,0,340,Standardization,1460,0.6476190476190476,0.6363461135554159,0.46313825744489734
resnet101,0,340,MinMax,1849,0.4238095238095238,0.3308873276086391,0.11308900523560217
resnet101,0,340,Standardization,1798,0.6476190476190476,0.6363461135554159,0.46313825744489734
resnet101,0,340,MinMax,1281,0.4238095238095238,0.3308873276086391,0.11308900523560217
resnet101,0,340,Standardization,1250,0.6476190476190476,0.6363461135554159,0.46313825744489734
resnet101,0,340,MinMax,1335,0.4238095238095238,0.3308873276086391,0.11308900523560217
resnet101,0,340,MinMax,1721,0.4238095238095238,0.3308873276086391,0.11308900523560217
resnet101,0,340,Standardization,1369,0.6476190476190476,0.6363461135554159,0.46313825744489734
resnet101,0,340,Standardization,1245,0.6476190476190476,0.6363461135554159,0.46313825744489734
resnet101,0,340,Standardization,1314,0.6476190476190476,0.6363461135554159,0.46313825744489734
resnet101,0,340,MinMax,1512,0.4238095238095238,0.3308873276086391,0.11308900523560217
resnet101,0,340,Standardization,1468,0.6476190476190476,0.6363461135554159,0.46313825744489734
resnet101,0,340,Standardization,1360,0.6476190476190476,0.6363461135554159,0.46313825744489734
resnet101,0,340,MinMax,1291,0.4238095238095238,0.3308873276086391,0.11308900523560217
resnet101,0,340,Standardization,1484,0.6476190476190476,0.6363461135554159,0.46313825744489734
resnet101,0,340,MinMax,1710,0.4238095238095238,0.3308873276086391,0.11308900523560217
resnet101,0,340,MinMax,1219,0.4238095238095238,0.3308873276086391,0.11308900523560217
resnet101,0,340,MinMax,1103,0.4238095238095238,0.3308873276086391,0.11308900523560217
