Pretrained model,Lower Bound,Upper bound,Scaling,Number of features,Accuracy Score,F1 Score,Cohens Kappa Score
resnet50,0,153,Standardization,1140,0.4666666666666667,0.4063417763463568,0.17401229148375752
resnet50,0,153,Standardization,1471,0.4666666666666667,0.4063417763463568,0.17401229148375752
resnet50,0,153,MinMax,1038,0.5238095238095238,0.43270215068737466,0.2647058823529411
resnet50,0,153,MinMax,1803,0.5238095238095238,0.43270215068737466,0.2647058823529411
resnet50,0,153,Standardization,1594,0.4666666666666667,0.4063417763463568,0.17401229148375752
resnet50,0,153,MinMax,1488,0.5238095238095238,0.43270215068737466,0.2647058823529411
resnet50,0,153,Standardization,1062,0.4666666666666667,0.4063417763463568,0.17401229148375752
resnet50,0,153,Standardization,1803,0.4666666666666667,0.4063417763463568,0.17401229148375752
resnet50,0,153,Standardization,1452,0.4666666666666667,0.4063417763463568,0.17401229148375752
resnet50,0,153,Standardization,1447,0.4666666666666667,0.4063417763463568,0.17401229148375752
resnet50,0,153,MinMax,1382,0.5238095238095238,0.43270215068737466,0.2647058823529411
resnet50,0,153,MinMax,1484,0.5238095238095238,0.43270215068737466,0.2647058823529411
resnet50,0,153,MinMax,1555,0.5238095238095238,0.43270215068737466,0.2647058823529411
resnet50,0,153,MinMax,1229,0.5238095238095238,0.43270215068737466,0.2647058823529411
resnet50,0,153,Standardization,1674,0.4666666666666667,0.4063417763463568,0.17401229148375752
resnet50,0,153,MinMax,1409,0.5238095238095238,0.43270215068737466,0.2647058823529411
resnet50,0,153,Standardization,1305,0.4666666666666667,0.4063417763463568,0.17401229148375752
resnet50,0,153,Standardization,1839,0.4666666666666667,0.4063417763463568,0.17401229148375752
resnet50,0,153,Standardization,1396,0.4666666666666667,0.4063417763463568,0.17401229148375752
resnet50,0,153,MinMax,1333,0.5238095238095238,0.43270215068737466,0.2647058823529411
resnet50,0,153,Standardization,1874,0.4666666666666667,0.4063417763463568,0.17401229148375752
resnet50,0,153,MinMax,1059,0.5238095238095238,0.43270215068737466,0.2647058823529411
resnet50,0,153,MinMax,1266,0.5238095238095238,0.43270215068737466,0.2647058823529411
resnet50,0,153,MinMax,1056,0.5238095238095238,0.43270215068737466,0.2647058823529411
resnet50,0,153,Standardization,1434,0.4666666666666667,0.4063417763463568,0.17401229148375752
resnet50,0,153,MinMax,1124,0.5238095238095238,0.43270215068737466,0.2647058823529411
resnet50,0,153,Standardization,1606,0.4666666666666667,0.4063417763463568,0.17401229148375752
resnet50,0,153,MinMax,1781,0.5238095238095238,0.43270215068737466,0.2647058823529411
resnet50,0,153,Standardization,1192,0.4666666666666667,0.4063417763463568,0.17401229148375752
resnet50,0,153,Standardization,1850,0.4666666666666667,0.4063417763463568,0.17401229148375752
resnet50,0,153,Standardization,1106,0.4666666666666667,0.4063417763463568,0.17401229148375752
resnet50,0,153,Standardization,1617,0.4666666666666667,0.4063417763463568,0.17401229148375752
resnet50,0,153,MinMax,1402,0.5238095238095238,0.43270215068737466,0.2647058823529411
